station,known_group,date,temp_c,precip_mm
Jakarta,Tropical,1997-01-01,25.89,408.27
Jakarta,Tropical,1997-02-01,26.11,155.12
Jakarta,Tropical,1997-03-01,27.15,159.65
Jakarta,Tropical,1997-04-01,27.15,191.1
Jakarta,Tropical,1997-05-01,27.6,159.65
Jakarta,Tropical,1997-06-01,26.91,21.3
Jakarta,Tropical,1997-07-01,26.06,13.33
Jakarta,Tropical,1997-08-01,26.34,13.33
Jakarta,Tropical,1997-09-01,27.36,9.9
Jakarta,Tropical,1997-10-01,28.64,16.74
Jakarta,Tropical,1997-11-01,28.86,117.3
Jakarta,Tropical,1997-12-01,28.02,160.58
Jakarta,Tropical,1998-01-01,28.22,202.43
Jakarta,Tropical,1998-02-01,27.72,254.8
Jakarta,Tropical,1998-03-01,27.87,271.25
Jakarta,Tropical,1998-04-01,28.15,187.5
Jakarta,Tropical,1998-05-01,28.39,195.3
Jakarta,Tropical,1998-06-01,27.71,166.8
Jakarta,Tropical,1998-07-01,27.43,112.53
Jakarta,Tropical,1998-08-01,27.52,99.82
Jakarta,Tropical,1998-09-01,27.56,113.4
Jakarta,Tropical,1998-10-01,27.46,258.85
Jakarta,Tropical,1998-11-01,27.17,153.6
Jakarta,Tropical,1998-12-01,27.06,177.94
Jakarta,Tropical,1999-01-01,26.49,300.39
Jakarta,Tropical,1999-02-01,26.24,230.16
Jakarta,Tropical,1999-03-01,26.84,105.09
Jakarta,Tropical,1999-04-01,27.28,96.6
Jakarta,Tropical,1999-05-01,27.15,93.62
Jakarta,Tropical,1999-06-01,26.88,98.7
Jakarta,Tropical,1999-07-01,26.55,71.61
Jakarta,Tropical,1999-08-01,26.49,31.62
Jakarta,Tropical,1999-09-01,27.59,33.6
Jakarta,Tropical,1999-10-01,27.61,134.85
Jakarta,Tropical,1999-11-01,27.24,140.4
Jakarta,Tropical,1999-12-01,26.86,217.0
Jakarta,Tropical,2000-01-01,26.11,179.49
Jakarta,Tropical,2000-02-01,26.24,198.07
Jakarta,Tropical,2000-03-01,26.42,94.86
Jakarta,Tropical,2000-04-01,27.06,120.6
Jakarta,Tropical,2000-05-01,27.4,142.91
Jakarta,Tropical,2000-06-01,26.89,60.0
Jakarta,Tropical,2000-07-01,26.9,78.12
Jakarta,Tropical,2000-08-01,27.13,57.35
Jakarta,Tropical,2000-09-01,28.28,39.9
Jakarta,Tropical,2000-10-01,28.27,84.63
Jakarta,Tropical,2000-11-01,27.45,184.2
Jakarta,Tropical,2000-12-01,27.61,98.27
Jakarta,Tropical,2001-01-01,26.62,238.7
